City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,atamanovka,51.93,113.63,281.39,56,100,4.08,RU,1712912369
201,rabo de peixe,37.8,-25.5833,290.92,99,75,0.51,PT,1712912371
202,buala,-8.145,159.5921,300.74,77,100,1.41,SB,1712912373
203,patnanungan,14.7833,122.1833,300.79,73,6,5.12,PH,1712912375
204,kayes,14.0,-11.0,308.43,25,76,5.5,ML,1712912377
205,khot'kovo,56.257,37.9954,284.03,65,93,6.78,RU,1712912379
206,fort bragg,35.139,-79.006,291.06,77,100,8.75,US,1712912383
207,sisimiut,66.9395,-53.6735,267.31,94,100,4.0,GL,1712912385
208,kisangani,0.5167,25.2,308.29,43,82,0.72,CD,1712912387
209,alofi,-19.0595,-169.9187,298.09,94,8,1.03,NU,1712912388
210,thinadhoo,0.5333,72.9333,302.37,71,47,2.08,MV,1712912390
211,baardheere,2.3446,42.2764,308.32,46,80,4.07,SO,1712912392
212,san vicente de canete,-13.0751,-76.3835,293.84,85,95,2.1,PE,1712912394
213,san mariano,7.5,126.0,302.4,60,95,1.48,PH,1712912396
214,katabu,-4.9333,122.5167,299.85,92,78,0.31,ID,1712912398
215,rong'an,26.1247,119.1214,300.88,79,99,0.9,CN,1712912400
216,sandnessjoen,66.0217,12.6316,280.21,87,100,7.72,NO,1712912403
217,nar'yan-mar,67.6713,53.087,263.77,94,100,8.05,RU,1712912330
218,yellowknife,62.456,-114.3525,273.94,91,75,6.17,CA,1712912409
219,vallenar,-28.5708,-70.7581,287.34,84,0,0.51,CL,1712912406
220,esmeraldas,-19.7625,-44.3139,295.63,94,95,2.17,BR,1712912414
221,camana,-16.6228,-72.7111,293.95,91,98,2.71,PE,1712912417
222,port blair,11.6667,92.75,307.17,52,20,4.12,IN,1712912421
223,isafjordur,66.0755,-23.124,271.17,80,100,8.23,IS,1712912186
224,susuman,62.7833,148.1667,264.81,90,16,2.24,RU,1712912425
225,qui nhon,13.7667,109.2333,301.87,70,100,3.01,VN,1712912429
226,telenesti,47.4997,28.3656,293.03,44,13,5.96,MD,1712912431
227,nyurba,63.2842,118.3319,261.65,74,100,2.13,RU,1712912433
228,port alfred,-33.5906,26.891,293.81,59,95,2.24,ZA,1712912413
229,victoria falls,-17.9235,25.843,295.21,78,75,6.69,ZW,1712912437
230,chokwe,-24.5333,32.9833,297.67,53,51,3.62,MZ,1712912438
231,ulladulla,-35.35,150.4667,288.58,83,0,1.15,AU,1712912440
232,leshan,29.5623,103.7639,298.97,57,98,2.13,CN,1712912441
233,flying fish cove,-10.4217,105.6791,301.97,78,40,4.63,CX,1712912443
234,scornicesti,44.5667,24.55,295.32,35,14,3.2,RO,1712912445
235,buitenpost,53.2517,6.1448,289.79,76,100,5.36,NL,1712912446
236,puerto armuelles,8.2833,-82.8667,300.98,71,68,1.34,PA,1712912448
237,santa sylvina,-27.8326,-61.1375,291.51,91,100,2.76,AR,1712912450
238,kisesa,-3.0833,34.15,292.72,89,100,5.87,TZ,1712912452
239,east london,-33.0153,27.9116,293.67,49,0,8.23,ZA,1712912434
240,lerwick,60.1545,-1.1494,282.68,81,54,11.56,GB,1712912457
241,myitkyina,25.3833,97.4,310.78,14,82,2.59,MM,1712912458
242,sumbawa besar,-8.5,117.4333,300.68,95,90,0.57,ID,1712912460
243,antonio enes,-16.2325,39.9086,302.36,60,100,7.05,MZ,1712912461
244,mangrol,21.1167,70.1167,300.49,70,18,7.29,IN,1712912462
245,queenstown,-31.8976,26.8753,287.44,35,4,0.96,ZA,1712912464
246,nova aurora,-22.8667,-52.5667,295.75,77,100,6.43,BR,1712912465
247,tsiombe,-25.3,45.4833,299.82,39,74,4.3,MG,1712912466
248,kalmunai,7.4167,81.8167,303.1,69,100,5.04,LK,1712912468
249,sitka,57.0531,-135.33,277.09,70,100,1.54,US,1712912469
250,marsh harbour,26.5412,-77.0636,297.06,91,26,9.4,BS,1712912470
251,bartlesville,36.7473,-95.9808,281.38,62,0,2.43,US,1712912472
252,sao joao da barra,-21.6403,-41.0511,296.68,87,6,3.06,BR,1712912473
